bus,name,p_mw,q_mvar,in_service
1706,Carrickmines,0,100,TRUE
1098,Carrickmines_38,0,20,TRUE
1598,Knockanure_220,0,50,TRUE
1496,Poolbeg_220,0,100,TRUE
1766,Athlone,0,-60,TRUE
1744,Bellacorick,0,-10,TRUE
1709,Cahir,0,-60,TRUE
1715,Castlebar,0,-60,TRUE
1113,CathaleenFall,0,-15,TRUE
1718,Cashla,0,-80,TRUE
885,Dalton,0,-15,TRUE
1662,Dunmanway,0,-15,TRUE
967,Doon,0,-15,TRUE
1671,Drumline,0,-15,TRUE
787,Gortawee,0,-15,TRUE
1589,Kilkenny,0,-30,TRUE
1675,Knockranny,0,-30,TRUE
728,Kilteel,0,-30,TRUE
1557,Letterkenny,0,-45,TRUE
1559,Lisdrum,0,-30,TRUE
674,Louth,0,-30,TRUE
548,Moy_1,0,-15,TRUE
547,Moy_2,0,-15,TRUE
1523,Mullingar,0,-30,TRUE
418,Raffeen,0,-60,TRUE
390,SKL_cap,0,-30,TRUE
381,Sligo Cap,0,-15,TRUE
230,Thurles,0,-15,TRUE
1442,Trien,0,-30,TRUE
1439,Tralee,0,-30,TRUE
165,Wexford,0,-30,TRUE
